cargo,nome empresa,local,link
Work From Home Analytics Engineering Manager,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-analytics-engineering-manager/31446615/
Analista de Testes QA Pleno,STARLINE,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-testes-qa-pleno/31441616/
Analista de Testes Automatizador,STARLINE,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-testes-automatizador/31441598/
Especialista em IA e Automação | WhatsApp Cloud API,MULTI BPO,Barueri - SP (1),https://www.catho.com.br/vagas/especialista-em-ia-e-automacao-whatsapp-cloud-api/31424981/
Engenheiro de Dados AWS Sênior ,Cliente,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/engenheiro-de-dados-aws-senior/31391968/
Analista de Dados,Empresa Confidencial,Diadema - SP (2),https://www.catho.com.br/vagas/analista-de-dados/31352134/
Work From Home SemiSenior Software Development Engineer in Test / R+D,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-semisenior-software-development-engineer-in-test-r-plusd/31447029/
Work From Home Junior QA Automation / Research + Development,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-junior-qa-automation-research-plus-development/31446546/
Trabalhe de Casa QA Automation Pleno / Pesquisa + Desenvolvimento,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-qa-automation-pleno-pesquisa-plus-desenvolvimento/31446579/
Trabalhe de Casa Gerente de Engenharia Analítica,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-gerente-de-engenharia-analitica/31446616/
Work From Home Odoo Developer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-odoo-developer/31446767/
"Desenvolvedor Back-end Sênior - NodeJS, Stripe, Amazon AWS",GO OLIVIERI APLICATIVOS E SOFTWARES,São Bernardo do Campo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-back-end-senior-nodejs-stripe-amazon-aws/31143462/
Trabalhe de Casa Líder de Garantia de Qualidade de Software / P+D,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-lider-de-garantia-de-qualidade-de-software-p-plusd/31446601/
Work From Home QA Manager,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-qa-manager/31446808/
